"Time","","2016","2017","2018","2019","2020","2021","2022"
"Pacific Island Countries and territories","Urbanization","","","","","","",""
"Indicator: 6.2.1 Population with basic handwashing facilities on premises","","","","","","","",""
"Melanesia","","","","","","","",""
"·  Fiji","National","0","86.26","86.31","86.37","86.42","86.47","86.53"
"·  Fiji","Urban","0","91.12","91.12","91.12","91.12","91.12","91.12"
"·  Fiji","Rural","0","80.13","80.13","80.13","80.13","80.13","80.13"
"·  Papua New Guinea","National","29.65","29.67","29.7","29.73","29.77","29.81","29.86"
"·  Papua New Guinea","Urban","62.48","62.48","62.48","62.48","62.48","62.48","62.48"
"·  Papua New Guinea","Rural","24.73","24.73","24.73","24.73","24.73","24.73","24.73"
"·  Solomon Islands","National","38.05","38.25","38.44","38.64","0","0","0"
"·  Solomon Islands","Urban","70.67","70.67","70.67","70.67","0","0","0"
"·  Solomon Islands","Rural","28.4","28.4","28.4","28.4","28.4","28.4","28.4"
"·  Vanuatu","National","49.46","53.88","58.29","62.7","67.1","71.49","75.88"
"·  Vanuatu","Urban","66.67","68.82","70.97","73.12","75.27","77.42","79.57"
"·  Vanuatu","Rural","43.71","48.86","54","59.15","64.3","69.45","74.6"
"Micronesia","","","","","","","",""
"·  Kiribati","National","55.34","55.4","55.46","55.52","55.58","55.63","55.68"
"·  Kiribati","Urban","58.85","58.85","58.85","58.85","58.85","58.85","58.85"
"·  Kiribati","Rural","51.48","51.48","51.48","51.48","51.48","51.48","51.48"
"·  Marshall Islands","National","84.97","85","85.02","85.04","85.07","85.09","0"
"·  Marshall Islands","Urban","86.44","86.44","86.44","86.44","86.44","86.44","0"
"·  Marshall Islands","Rural","80.25","80.25","80.25","80.25","80.25","80.25","0"
"Polynesia","","","","","","","",""
"·  Samoa","National","72.12","72.08","72.05","72.03","72","71.98","71.96"
"·  Samoa","Urban","83.77","83.77","83.77","83.77","83.77","83.77","83.77"
"·  Samoa","Rural","69.44","69.44","69.44","69.44","69.44","69.44","69.44"
"·  Tonga","National","69.56","69.55","69.54","69.54","69.54","69.54","69.54"
"·  Tonga","Urban","80.43","80.43","80.43","80.43","80.43","80.43","80.43"
"·  Tonga","Rural","66.27","66.27","66.27","66.27","66.27","66.27","66.27"
"·  Tuvalu","National","94.13","94.1","94.07","94.04","94.01","93.98","93.96"
"·  Tuvalu","Urban","92.72","92.72","92.72","92.72","92.72","92.72","92.72"
"·  Tuvalu","Rural","96.32","96.32","96.32","96.32","96.32","96.32","96.32"
